frame_id,player_id,x1,y1,x2,y2,quality_score
3,1,822,463,887,553,0.5991087204217911
3,2,468,161,503,226,0.5973787760734558
3,3,869,185,903,248,0.5963519906997681
3,4,411,417,477,499,0.596530402302742
3,5,173,264,223,347,0.5982779240608216
3,6,1086,343,1137,439,0.5987169033288956
3,7,740,83,767,127,0.5946894949674606
3,8,920,125,945,176,0.592276114821434
3,9,407,155,442,216,0.5959861999750138
3,10,747,193,783,264,0.5957704520225525
3,11,1158,257,1203,340,0.5913057541847229
3,12,531,429,576,515,0.5908756172657013
3,13,593,96,617,146,0.5964843398332595
3,14,500,434,541,514,0.566046774983406
4,1,832,462,892,546,0.7550966509206255
4,2,481,161,516,226,0.7241812230491596
4,3,880,185,915,249,0.7279469356276883
4,4,422,416,488,498,0.7622089180139058
4,5,182,265,233,347,0.7425172508580814
4,6,1086,344,1137,440,0.7445607726745295
4,7,748,83,776,127,0.6914304283578803
4,8,933,125,958,176,0.7145212909577424
4,9,420,154,454,216,0.7252555243761829
4,10,757,192,795,265,0.725529650714095
4,11,1167,257,1211,340,0.7316035454672242
4,12,531,428,578,517,0.7462443094601658
4,13,606,97,630,147,0.714077187713467
4,14,499,434,538,510,0.7201833373644139
5,1,837,460,899,545,0.8605313543725663
5,2,493,160,528,226,0.8300087782032692
5,3,890,185,925,249,0.8349791811949445
5,4,428,414,495,499,0.8686151637001603
5,5,191,266,240,347,0.8480336989698002
5,6,1090,346,1140,441,0.7654532067094514
5,7,757,83,784,127,0.7861879334694617
5,8,945,124,971,178,0.8191980223376101
5,9,432,154,465,215,0.8299834429372982
5,10,768,193,805,266,0.8309610851037114
5,11,1178,257,1222,340,0.8343447532555754
5,12,537,427,583,516,0.7656351779828745
5,13,620,97,643,146,0.8193493764959474
5,14,501,436,536,500,0.7093706789720688
6,1,845,458,907,544,0.8662013305323156
6,2,504,159,540,225,0.8357924083412382
6,3,900,185,936,249,0.8406319715488323
6,4,433,413,502,499,0.8733682435975102
6,5,198,266,247,346,0.8531671998248275
6,6,1097,348,1145,442,0.7936156853616153
6,7,765,83,792,127,0.7865222309710166
6,8,958,124,984,178,0.824080924434882
6,9,443,154,476,214,0.8350847456618171
6,10,780,194,817,266,0.8356451526946183
6,11,1189,256,1233,340,0.8376018852991216
6,12,541,424,588,515,0.795815136614615
6,13,632,97,656,146,0.8253585113759596
6,14,502,440,542,514,0.6832313674092969
6,15,708,224,731,298,0.5849672293663025
7,1,853,455,917,544,0.8711162898288242
7,2,515,159,551,225,0.8405772242141952
7,3,911,185,948,249,0.8460003330560238
7,4,439,412,507,497,0.8794469588542576
7,5,205,266,253,346,0.8577732165349289
7,6,1109,348,1156,438,0.8064677315337636
7,7,773,83,801,127,0.7890626151256998
7,8,970,124,997,179,0.828949718955357
7,9,454,154,486,214,0.8096982842788895
7,10,791,195,827,266,0.8394590882215052
7,11,1199,255,1244,341,0.8422350223559192
7,12,548,420,595,513,0.8115600176161827
7,13,644,96,668,146,0.8309968114960449
7,14,505,442,546,518,0.7227547847304834
7,15,721,224,744,297,0.6815614819394882
8,1,859,451,927,546,0.8757255676677562
8,2,526,158,561,225,0.8449077643821379
8,3,922,185,959,250,0.8512142709814916
8,4,449,412,516,497,0.883110357175208
8,5,215,265,262,345,0.8618215311585951
8,6,1113,347,1160,439,0.8238208092255525
8,7,802,83,830,128,0.7901171968109398
8,8,983,125,1009,180,0.8341074682764731
8,9,464,154,497,214,0.8031668652749706
8,10,800,197,835,267,0.8438254026120751
8,11,1207,256,1254,343,0.8474978081258948
8,12,555,417,599,508,0.8502291950454415
8,13,654,95,679,145,0.8365052665420801
8,14,508,442,550,520,0.7747345606564945
8,15,733,224,757,298,0.786736443298974
9,1,867,449,933,541,0.8802830422218025
9,2,538,158,573,226,0.8490651648905891
9,3,932,186,968,251,0.8565038357338317
9,4,457,412,522,495,0.8876635283112704
9,5,225,263,273,345,0.8659709229405863
9,6,1118,346,1167,442,0.8574410304010698
9,7,814,84,842,129,0.7988680447896541
9,8,996,126,1022,181,0.8389931644936317
9,9,479,154,511,216,0.8097535833145444
9,10,810,197,843,266,0.8485661283924254
9,11,1217,257,1264,343,0.8525570606836741
9,12,560,414,604,505,0.8589147390523185
9,13,666,95,690,145,0.8147908641146815
9,14,512,440,556,520,0.7894844844170996
9,15,746,224,771,298,0.7920880538767442
10,1,874,446,939,536,0.8857118587170734
10,2,551,158,586,226,0.853591564323906
10,3,941,186,977,251,0.8610379009601163
10,4,464,410,527,493,0.8921937758193823
10,5,235,263,283,345,0.8705619738903848
10,6,1125,345,1175,442,0.8581730296335364
10,7,827,85,855,129,0.8070991433487102
10,8,1008,127,1033,182,0.8440206051318133
10,9,490,154,522,216,0.8172417053220777
10,10,819,197,853,267,0.8531751226712244
10,11,1229,258,1276,345,0.8562283402364033
10,12,568,412,612,504,0.8613420596749211
10,13,678,94,703,146,0.8214067100174055
10,14,516,439,562,520,0.8283259617409949
10,15,759,225,785,298,0.7915582098851699
11,1,880,445,944,533,0.8911814874469943
11,2,565,159,599,226,0.8580890177121563
11,3,952,186,986,251,0.8659019082494669
11,4,470,410,529,487,0.8939303919679428
11,5,243,263,291,345,0.8759193596566582
11,6,1129,345,1179,441,0.8659320834928803
11,7,841,85,868,129,0.8148250412216616
11,8,1021,127,1046,182,0.8488463618152596
11,9,502,155,534,216,0.8244209275590015
11,10,830,197,864,268,0.8573948275509146
11,11,1238,261,1283,345,0.8614524702135243
11,12,572,411,619,507,0.8646606677920483
11,13,691,95,715,147,0.8276539698465522
11,14,523,437,563,506,0.8208559892204517
11,15,772,225,799,298,0.7975894810121107
12,1,885,444,947,532,0.8955813161719289
12,2,578,159,612,226,0.8627157436246937
12,3,962,185,997,251,0.8706245773591086
12,4,476,410,535,485,0.8938947059418357
12,5,251,263,299,345,0.8809374026360013
12,6,1123,347,1173,440,0.8216596288057502
12,7,854,86,881,129,0.8222418436321008
12,8,1034,127,1058,182,0.8534498860001098
12,9,514,156,547,217,0.8311858798358671
12,10,840,196,875,268,0.862151954662226
12,11,1243,261,1287,345,0.8671882845868489
12,12,574,410,624,513,0.8664426734474625
12,13,703,96,728,148,0.8338678511655658
12,14,526,438,565,505,0.8095017357505505
12,15,785,225,812,297,0.8043054133121752
13,1,890,444,953,534,0.9017817571261314
13,2,589,160,624,227,0.867787395790998
13,3,974,185,1008,251,0.8750711973606791
13,4,489,410,543,479,0.8940441762718162
13,5,260,265,307,345,0.8857093762371688
13,6,1127,348,1178,441,0.7794663246640079
13,7,867,86,893,129,0.829507243062934
13,8,1047,127,1072,182,0.8581449714919775
13,9,527,157,559,217,0.8378164437450796
